Lake_Name,Invasion_Year
Lake Anawanda,NA
Augur Lake,NA
Babcock Lake,NA
Big Bowman Lake,NA
Bradley Brook Reservoir,NA
Brantingham Lake,NA
Burden Third Lake,NA
Canada Lake,NA
Cazenovia Lake,1997
Chenango Lake,NA
Craine Lake,2007
Crooked Lake,NA
Cuba Lake,NA
De Ruyter Reservoir,2010
Eagle Lake,NA
Eagle Pond,NA
East Caroga Lake,NA
Eaton Brook Reservoir,1999
Echo Lake,NA
Effley Falls Lake,NA
Efner Lake,NA
Forest Lake,NA
Friends Lake,NA
Galway Lake,NA
Geneganslet Lake,NA
Glen Lake,1996
Grass Lake,NA
Guilford Lake,NA
Hadlock Pond,NA
Hatch Lake,2013
Hunt Lake,NA
Indian Lake,NA
Jenny Lake,NA
Kasoag Lake,NA
Lake Bonaparte,NA
Lake Devenoge,NA
Lake Forest,NA
Lake of the Woods,NA
Lake Placid,NA
Lake Pleasant,NA
Lake Sunnyside,NA
Lincoln Pond,NA
Little Long Pond,NA
Loon Lake,NA
Lorton Lake,NA
Millsite Lake,NA
Oquaga Lake,NA
Otter Lake,NA
Panther Lake,NA
Peck Lake,NA
Lake Petonia,NA
Pleasant Lake,NA
Plymouth Reservoir,NA
Queechy Lake,NA
Roaring Brook Lake,NA
Round Pond,NA
Rushford Lake,NA
Sacandaga Lake,NA
Schroon Lake,NA
Sepasco Lake,NA
Silver Lake,NA
Somerset Lake,NA
Song Lake,NA
Spring Lake,NA
Taconic Pond,NA
Tully Lake,NA
Tuscarora Lake,2009
Tuxedo Lake,NA
Upper Little York Lake,2013
Warn Lake,NA
Yankee Lake,NA