Lake_Name,Percent_Ag
Augur Lake,0
Babcock Lake,0
Big Bowman Pond,1
Bradley Brook Reservoir,20
Brantingham Lake,1
Burden Third Lake,7
Canada Lake,0
Cazenovia Lake,20
Chenango Lake,2
Craine Lake,48
Crooked Lake,31
Cuba Lake,23
De Ruyter Reservoir,1
Eagle Lake,0
Eagle Pond,1
East Caroga Lake,1
Eaton Brook Reservoir,19
Echo Lake,
Efner Lake,0
Forest Lake,0
Friends Lake,2
Galway Lake,10
Geneganslet Lake,14
Glen Lake,1
Grass Lake,1
Guilford Lake,41
Hadlock Pond ,1
Hatch Lake,23
Hunt Lake,0
Indian Lake,0
Jenny Lake,0
Kasoag Lake,9
Lake Anawanda,0
Lake Bonaparte,1
Lake Devenoge,0
Lake Forest,1
Lake of the Woods,7
Lake Petonia,18
Lake Placid,0
Lake Pleasant,1
Lake Sunnyside,0
Lincoln Pond,0
Little Long Pond,2
Loon Lake,44
Lorton Lake,1
Millsite Lake,4
Oquaga Lake,3
Otter Lake,0
Panther Lake,4
Peck Lake,0
Pleasant Lake,0
Queechy Lake,4
Roaring Brook Lake,1
Round Pond,1
Rushford Lake,28
Sacandaga Lake,0.1
Schroon Lake,1
Sepasco Lake,15
Silver Lake,0
Somerset Lake,9
Song Lake,26
Spring Lake,0
Taconic Lake,0
Tully Lake,37
Tuscarora Lake,20
Tuxedo Lake,1
Upper Little York Lake,36
Warn Lake,28
Yankee Lake,1